SNR,window,p,MD,FAR
0,10,0.5,0.00076,0.98946
5,10,0.5,0.00118,0.85262
10,10,0.5,0.00114,0.4665
0,20,0.5,0.0009,0.96866
5,20,0.5,0.00088,0.31982
10,20,0.5,0.00096,0.00568
0,30,0.5,0.00068,0.9494
5,30,0.5,0.0009,0.09324
10,30,0.5,0.00048,0.00042
0,40,0.5,0.00096,0.91286
5,40,0.5,0.00152,0.01564
10,40,0.5,0.0013,2e-05
0,50,0.5,0.00122,0.8768
5,50,0.5,0.00128,0.00422
10,50,0.5,0.00094,0.0
0,60,0.5,0.00104,0.84678
5,60,0.5,0.00108,0.00086
10,60,0.5,0.0013,0.0
0,70,0.5,0.00152,0.80152
5,70,0.5,0.00054,0.00028
10,70,0.5,0.00122,0.0
0,80,0.5,0.0009,0.78992
5,80,0.5,0.00052,0.00014
10,80,0.5,0.00188,0.0
0,90,0.5,0.00066,0.80644
5,90,0.5,0.0011,2e-05
10,90,0.5,0.00142,0.0
0,100,0.5,0.0015,0.68896
5,100,0.5,0.00132,0.0
10,100,0.5,0.00064,0.0
