SNR,window,p,MD_x,FAR_x
0.0,50,0.5,0.00160787860516531,0.26409406089840215
0.0,50,0.5,0.0028137875590392926,0.29424178474525176
0.0,50,0.5,0.005527082705255753,0.28358958898603154
0.0,50,0.5,0.00160787860516531,0.2561551602853985
0.0,50,0.5,0.0018088634308109737,0.2506280775801427
0.0,50,0.5,0.0027132951462164605,0.24821625967239475
0.0,50,0.5,0.00030147723846849563,0.24881921414933172
0.0,50,0.5,0.00020098482564566376,0.26972163601648075
0.0,50,0.5,0.0015073861923424782,0.26248618229323684
0.0,50,0.5,0.0010049241282283187,0.24017686664656818
